Abrevation,Overall,average,Scoring,Defense,Rebounding,Ball Control,Team name,City,Location,Arena,,S%,D%,R%,B%,,G,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,TOVA,PTSA
ATL,3,12.75,8,11,29,3,Atlanta Hawks,Atlanta, Georgia,Philips Arena,,0.61700903,0.758110112,0.172631579,0.689661739,,82,19730,3121,6699,0.466,818,2152,0.38,2303,4547,0.506,1349,1735,0.778,715,2611,3326,2111,744,380,1167,1457,8409,102.5,1137,7964
BOS,15,13.25,12,23,14,4,Boston Celtics,Boston, Massachusetts,TD Garden,,0.557787209,0.454819773,0.582128377,0.643307583,,82,19880,3193,7211,0.443,660,2021,0.327,2533,5190,0.488,1266,1678,0.754,910,2685,3595,2009,674,294,1133,1738,8312,101.4,1033,8299
BRK,16,21.25,21,22,23,19,Brooklyn Nets,New York City, New York,Barclays Center,,0.362446436,0.455954325,0.419339685,0.407777036,,82,19930,3069,6804,0.451,541,1633,0.331,2528,5171,0.489,1359,1817,0.748,846,2627,3473,1716,576,340,1133,1579,8038,98,1003,8274
CHO,22,15,28,6,18,8,Charlotte Hornets,Charlotte, North Carolina,Time Warner Cable Arena,,0.166547229,0.872528721,0.512838357,0.522508039,,82,19905,2913,6932,0.42,498,1566,0.318,2415,5366,0.45,1397,1867,0.748,820,2793,3613,1654,499,448,976,1494,7721,94.2,1177,7981
CHI,7,9,14,4,3,15,Chicago Bulls,Chicago, Illinois,United Center,,0.446924627,0.894746717,0.759473997,0.447449224,,82,19880,3001,6797,0.442,645,1825,0.353,2356,4972,0.474,1618,2067,0.783,959,2792,3751,1781,514,476,1145,1495,8265,100.8,1257,8019
CLE,2,13.5,7,15,16,16,Cleveland Cavaliers,Cleveland, Ohio,Quicken Loans Arena,,0.621366629,0.684179535,0.522435109,0.446722886,,82,19780,3089,6739,0.458,826,2253,0.367,2263,4486,0.504,1453,1934,0.751,911,2612,3523,1814,603,340,1171,1510,8457,103.1,1215,8090
DAL,11,14.25,3,26,22,6,Dallas Mavericks,Dallas, Texas,American Airlines Center,,0.720633569,0.418974911,0.42470467,0.586702124,,82,19880,3255,7036,0.463,732,2082,0.352,2523,4954,0.509,1386,1843,0.752,858,2608,3466,1846,663,371,1062,1644,8628,105.2,1092,8390
DEN,24,14.75,13,25,4,17,Denver Nuggets,Denver, Colorado,Pepsi Center,,0.516767157,0.430249126,0.736783383,0.431063655,,82,19880,3099,7158,0.433,660,2032,0.325,2439,5126,0.476,1462,1991,0.734,1012,2653,3665,1788,641,367,1166,1882,8320,101.5,1425,8611
DET,23,12,16,18,2,12,Detroit Pistons,Auburn Hills, Michigan,The Palace of Auburn Hills,,0.424070035,0.581224752,0.786851164,0.487628668,,82,19830,3041,7038,0.432,703,2043,0.344,2338,4995,0.468,1292,1838,0.703,1051,2630,3681,1771,623,383,1099,1559,8077,98.5,1045,8159
GSW,1,6.25,1,10,12,2,Golden State Warriors,Oakland, California,Oracle Arena,,0.981024668,0.780814237,0.589276277,0.780922432,,82,19730,3410,7137,0.478,883,2217,0.398,2527,4920,0.514,1313,1709,0.768,853,2814,3667,2248,762,496,1185,1628,9016,110,1239,8188
